,Harapan_Lama_Sekolah,Pengeluaran_Perkapita,Rerata_Lama_Sekolah,Usia_Harapan_Hidup,ipm,IPM
660,13.31,6364,7.81,66.96,2,2
661,13.4,11825,10.32,73.41,1,1
662,12.97,9486,7.21,74.12,2,2
663,15.37,12240,11.2,72.71,1,1
664,12.2,8618,6.8,70.49,2,2
665,12.48,10274,6.92,73.39,2,2
666,8.35,4569,3.19,66.0,4,4
667,12.28,12681,7.34,66.97,2,2
668,12.43,6655,7.1,66.99,2,2
669,12.48,8309,7.89,67.13,2,2
670,13.73,11509,9.96,73.92,1,1
671,13.28,8220,7.99,67.75,2,2
672,13.46,11098,9.79,69.22,1,1
673,11.54,8126,6.94,71.05,2,2
674,12.42,8654,6.53,68.25,2,2
675,11.81,9088,6.4,70.1,2,2
676,12.74,7491,9.47,69.17,2,2
677,14.54,12796,10.59,70.28,1,1
678,13.11,7966,9.01,64.15,2,2
679,12.43,11499,6.27,61.44,2,2
680,13.26,14393,8.67,70.46,1,1
681,13.19,11601,7.78,71.3,1,1
682,13.27,8354,7.59,65.71,2,2
683,12.19,9741,7.6,67.09,2,2
684,12.73,12707,7.52,67.41,2,2
685,12.1,10258,7.86,70.15,2,2
686,12.05,10152,6.22,69.54,2,2
687,12.68,12032,8.29,68.66,1,1
688,13.1,7974,9.08,69.05,2,2
689,12.63,10114,7.92,70.51,2,2
690,13.12,11800,9.91,72.26,1,1
691,13.34,10309,8.75,68.6,1,1
692,11.56,10223,6.5,65.43,2,2
693,13.98,7405,10.53,65.68,2,2
694,16.51,14728,11.34,73.57,3,3
695,13.41,8543,8.85,61.2,2,2
696,13.92,8721,9.58,65.59,2,2
697,12.25,9865,7.28,73.59,2,2
698,13.62,13281,9.12,71.52,1,1
699,14.22,13815,11.05,70.46,1,1
700,12.31,11663,8.04,69.96,1,1
701,13.4,9180,8.06,67.67,2,2
702,12.26,7253,7.95,66.57,2,2
703,11.91,8186,6.32,73.11,2,2
704,13.3,9089,8.14,70.45,2,2
705,13.61,10056,8.65,61.56,2,2
706,13.35,11028,9.34,69.23,1,1
707,12.63,10410,8.06,66.96,2,2
708,14.08,15292,9.98,71.93,1,1
709,12.89,7888,8.51,64.79,2,2
710,13.44,9827,8.04,67.95,2,2
711,12.35,10738,8.17,70.2,1,1
712,13.56,10622,7.86,68.6,1,1
713,12.74,10405,8.3,66.73,2,2
714,13.83,7472,7.11,63.86,2,2
715,12.89,12765,9.71,69.88,1,1
716,12.83,8758,9.08,66.14,2,2
717,12.43,10479,9.11,70.21,1,1
718,11.86,13563,8.47,71.1,1,1
719,15.01,14610,10.43,73.12,1,1
720,13.2,9388,7.73,70.13,2,2
721,12.94,10882,9.62,71.76,1,1
722,12.38,10389,8.12,66.36,2,2
723,13.23,9842,8.24,70.61,1,1
724,12.57,13031,7.85,76.03,1,1
725,12.77,7040,9.0,63.39,2,2
726,12.66,11492,8.95,67.19,1,1
727,12.93,10032,8.12,70.64,1,1
728,12.03,8014,7.91,64.74,2,2
729,13.17,9335,8.83,68.69,2,2
730,11.64,7980,7.08,68.26,2,2
731,13.45,11232,9.25,70.64,1,1
732,11.74,10471,7.46,69.47,2,2
733,16.08,13199,11.46,68.9,1,1
734,12.35,9292,7.39,69.27,2,2
735,16.24,13592,11.47,69.37,1,1
736,14.27,10069,9.02,75.27,1,1
737,12.32,9408,7.25,75.64,2,2
738,13.07,8079,8.74,67.59,2,2
739,13.87,8630,7.0,70.69,2,2
740,13.38,13267,9.9,69.39,1,1
741,13.28,7850,9.54,69.27,2,2
742,14.83,8857,9.28,71.22,1,1
743,16.41,13218,11.6,69.73,1,1
744,12.74,5677,8.81,65.94,2,2
745,12.89,11159,8.98,68.45,1,1
746,13.13,11810,10.12,72.44,1,1
747,15.64,14111,9.64,75.04,3,3
748,12.23,9591,7.31,70.46,2,2
749,12.75,10663,10.04,69.97,1,1
750,13.31,9928,9.4,71.49,1,1
751,12.28,7606,8.39,65.67,2,2
752,13.02,10400,8.46,66.32,2,2
753,13.37,13243,9.89,69.25,1,1
754,11.5,9483,7.59,67.81,2,2
755,13.0,10767,8.54,72.52,1,1
756,11.9,7874,6.93,69.7,2,2
757,12.21,12280,8.01,66.2,2,2
758,15.58,15426,9.45,71.59,1,1
759,12.95,11318,7.75,70.7,1,1
760,12.4,10302,6.31,70.35,2,2
761,12.79,5861,7.1,65.01,2,2
762,13.87,9651,8.96,72.37,1,1
763,11.86,8684,8.18,72.18,2,2
764,13.96,8732,9.93,65.98,2,2
765,13.77,13280,9.56,72.67,1,1
766,11.91,4998,5.24,60.13,4,4
767,11.58,7637,5.17,58.99,4,4
768,7.66,5328,3.09,65.69,4,4
769,12.47,10194,9.1,67.06,2,2
770,12.68,12434,10.24,70.47,1,1
771,11.68,10755,7.05,68.67,2,2
772,15.04,10440,11.44,72.58,1,1
773,12.58,11317,8.18,63.4,2,2
774,11.91,9954,7.23,67.85,2,2
775,12.18,9250,7.22,68.56,2,2
776,14.13,11378,11.18,70.56,1,1
777,13.78,9094,7.81,65.29,2,2
778,12.65,8887,7.61,72.07,2,2
779,13.28,11540,10.41,69.25,1,1
780,12.81,8358,7.51,67.53,2,2
781,12.44,12603,7.35,67.21,2,2
782,13.39,10116,8.35,70.44,1,1
783,13.1,14482,8.44,70.38,1,1
784,8.28,5142,3.63,65.58,4,4
785,12.42,9912,9.06,66.77,2,2
786,15.51,16593,10.18,73.27,3,3
787,13.85,9962,6.29,66.38,2,2
788,12.49,10410,8.31,71.36,1,1
789,12.58,10713,7.51,64.76,2,2
790,12.44,12091,6.51,61.75,2,2
791,12.91,9527,7.53,63.83,2,2
792,12.08,9182,6.53,73.67,2,2
793,14.62,11912,10.67,72.43,1,1
794,12.11,11614,8.09,70.99,1,1
795,12.84,10028,7.59,70.61,2,2
796,11.84,7920,6.02,68.48,2,2
797,13.64,11548,8.72,68.31,1,1
798,12.66,7044,8.57,62.83,2,2
799,10.53,6268,6.29,64.56,4,4
800,12.37,11718,7.96,70.34,1,1
801,13.1,7566,7.3,66.38,2,2
802,13.31,9027,8.4,66.6,2,2
803,12.88,7810,8.44,64.21,2,2
804,13.96,17733,11.67,74.54,3,3
805,12.96,7707,8.63,65.67,2,2
806,12.42,10409,7.17,73.74,1,1
807,13.65,8428,8.67,65.06,2,2
808,12.61,9858,7.82,70.18,2,2
809,5.39,5378,2.15,65.74,4,4
810,13.31,11818,10.14,70.98,1,1
811,11.75,12836,6.8,70.78,2,2
812,13.47,10284,7.03,65.87,2,2
813,13.61,11766,8.53,67.8,1,1
814,15.59,14968,9.46,71.76,1,1
815,10.99,8211,8.32,59.16,2,2
816,13.99,19992,11.23,74.68,3,3
817,11.69,11012,6.85,72.13,2,2
818,12.39,9807,7.7,67.92,2,2
819,13.53,8899,8.72,66.99,2,2
820,13.62,7980,8.72,67.8,2,2
821,13.9,15262,10.85,74.17,3,3
822,13.2,11508,7.84,68.98,1,1
823,13.07,10138,8.84,67.24,2,2
824,14.38,13954,11.14,70.7,1,1
825,12.17,9294,7.21,68.4,2,2
826,11.05,7927,6.75,59.53,4,4
827,12.7,7600,7.95,66.36,2,2
828,15.07,10754,11.63,72.82,1,1
829,12.35,5505,6.63,67.6,4,4
830,12.48,9426,7.04,76.07,2,2
831,13.81,11100,8.84,77.54,1,1
832,9.81,4632,3.01,65.24,4,4
833,13.58,8316,8.66,65.0,2,2
834,12.23,9409,7.8,73.78,2,2
835,12.29,10140,7.63,68.84,2,2
836,11.58,9855,7.09,65.76,2,2
837,13.97,14391,9.29,73.78,1,1
838,14.3,8715,8.52,67.36,2,2
839,12.73,7484,9.46,69.12,2,2
840,12.27,11616,7.87,69.17,2,2
841,12.95,11425,7.45,74.43,1,1
842,11.55,6814,8.52,66.0,2,2
843,14.15,7891,8.38,64.02,2,2
844,13.0,11533,8.53,72.27,1,1
845,13.17,10182,10.17,70.0,1,1
846,13.59,12931,9.1,71.18,1,1
847,14.04,12466,8.77,72.37,1,1
848,12.88,10848,10.31,70.6,1,1
849,12.68,9362,8.25,70.3,2,2
850,12.17,8210,7.05,68.33,2,2
851,14.66,15751,11.82,72.47,3,3
852,12.39,7801,7.03,71.04,2,2
853,12.75,12347,9.65,71.03,1,1
854,12.65,7758,7.04,71.18,2,2
855,13.22,8979,7.86,67.37,2,2
856,12.76,7156,7.62,65.42,2,2
857,13.0,7221,7.3,67.66,2,2
858,13.01,11562,8.9,68.81,1,1
859,13.23,10535,8.63,70.99,1,1
860,13.88,10417,8.44,69.38,1,1
861,13.34,8901,7.54,73.4,2,2
862,12.51,7502,7.3,70.35,2,2
863,12.87,10263,7.87,68.19,2,2
864,12.87,9465,7.48,67.17,2,2
865,11.92,11731,7.42,69.1,2,2
866,12.39,10937,8.18,69.65,1,1
867,12.79,10331,7.34,67.27,2,2
868,13.52,11184,8.46,70.66,1,1
869,12.29,7410,7.56,67.46,2,2
870,12.05,8196,7.04,68.27,2,2
871,12.85,11866,8.15,69.9,1,1
872,14.51,13786,10.65,71.31,1,1
873,13.63,8308,9.0,68.18,2,2
874,13.97,7351,10.52,65.47,2,2
875,13.68,10162,8.26,68.37,1,1
876,12.6,11053,9.04,69.6,1,1
877,12.49,11383,9.26,63.02,2,2
878,13.17,16765,10.8,74.55,3,3
879,14.97,12440,9.92,73.96,1,1
880,13.02,10035,7.84,67.95,2,2
881,16.72,16434,10.67,74.77,3,3
882,13.5,10163,8.12,74.72,1,1
883,12.49,8737,8.34,69.3,2,2
884,13.8,8218,8.46,70.41,2,2
885,12.82,8697,8.33,71.18,2,2
886,11.85,13554,8.46,71.05,1,1
887,12.76,6429,7.08,64.68,2,2
888,12.1,8482,7.84,71.45,2,2
889,13.47,8572,7.1,64.66,2,2
890,13.99,8067,9.65,68.04,2,2
891,11.91,9062,8.4,67.66,2,2
892,12.37,10255,7.12,64.07,2,2
893,12.65,12391,7.22,75.6,1,1
894,14.31,13851,10.1,73.6,1,1
895,14.15,12481,9.73,71.16,1,1
896,13.3,6479,7.51,66.86,2,2
897,12.89,7586,6.53,66.98,2,2
898,13.02,9100,8.69,66.98,2,2
899,12.45,9117,6.88,76.05,2,2
900,13.32,10820,8.58,68.44,1,1
901,14.24,9698,8.65,75.12,1,1
902,12.99,15883,9.8,73.17,1,1
903,12.46,10996,7.95,69.31,2,2
904,15.63,12067,11.12,69.43,1,1
905,12.53,9387,7.77,73.56,2,2
906,12.65,10390,7.44,76.22,1,1
907,12.65,7064,8.17,71.4,2,2
908,13.43,9410,6.49,69.28,2,2
909,12.79,20875,10.4,73.54,3,3
910,12.28,10412,7.58,64.96,2,2
911,13.16,6286,7.36,66.25,2,2
912,13.61,9837,9.26,67.9,1,1
913,12.85,8236,8.43,69.15,2,2
914,12.41,10237,6.32,70.47,2,2
915,12.68,9135,7.92,67.39,2,2
916,12.91,5391,6.67,65.17,4,4
917,12.31,10381,7.11,70.17,2,2
918,12.75,12474,9.62,71.27,1,1
919,13.28,8631,7.77,66.11,2,2
920,13.16,8081,6.94,67.24,2,2
921,13.62,10997,10.93,72.38,1,1
922,16.2,15074,11.33,70.31,3,3
923,12.29,7678,8.71,62.73,2,2
924,13.2,10675,9.14,71.6,1,1
925,12.49,9936,8.71,71.3,1,1
926,12.72,9006,5.91,67.17,2,2
927,12.01,9192,6.35,66.08,2,2
928,12.97,18527,11.06,72.79,3,3
929,11.53,12233,7.22,70.06,2,2
930,12.82,9608,8.37,69.55,2,2
931,11.42,9160,6.28,73.91,2,2
932,12.45,11998,6.67,62.06,2,2
933,15.09,13117,10.94,70.92,1,1
934,13.79,9027,8.03,65.43,2,2
935,13.05,10455,8.06,73.74,1,1
936,14.47,11906,10.96,71.63,1,1
937,11.9,10382,7.22,67.66,2,2
938,12.5,12062,8.0,68.23,1,1
939,14.97,13282,11.33,74.38,3,3
940,12.19,7511,8.49,71.35,2,2
941,13.06,8638,8.38,66.73,2,2
942,12.5,7485,7.01,70.34,2,2
943,13.31,12726,9.25,71.94,1,1
944,8.93,4462,3.15,63.59,4,4
945,13.7,10351,7.31,66.51,2,2
946,15.41,15699,10.42,77.4,3,3
947,14.54,10856,11.0,69.41,1,1
948,12.0,8052,7.19,70.32,2,2
949,12.63,10777,7.35,74.18,1,1
950,12.59,10261,8.69,68.01,2,2
951,12.87,11514,7.57,71.41,1,1
952,12.51,8002,7.98,67.5,2,2
953,12.63,11670,8.28,67.83,1,1
954,12.47,10683,8.29,71.01,1,1
955,13.13,11738,8.24,76.67,1,1
956,14.2,16887,10.75,74.28,3,3
957,12.63,9828,6.72,69.08,2,2
958,13.83,14443,10.51,71.45,1,1
959,12.55,6855,6.47,65.91,2,2
960,13.85,14484,10.69,71.6,1,1
961,12.57,10665,7.5,64.64,2,2
962,14.53,12255,10.92,71.28,1,1
963,12.11,6958,8.09,61.29,2,2
964,13.03,8807,9.01,67.09,2,2
965,13.0,9121,8.94,72.66,1,1
966,15.58,14394,9.38,74.92,1,1
967,13.04,7545,8.14,65.12,2,2
968,12.81,20801,10.78,73.69,3,3
969,12.8,12525,8.76,70.72,1,1
970,14.58,9134,9.08,67.72,1,1
971,12.48,11152,8.37,72.85,1,1
972,12.82,12802,8.54,70.38,1,1
973,12.78,8238,7.66,66.82,2,2
974,13.71,7639,8.41,70.67,2,2
975,12.21,10327,8.65,65.62,2,2
976,12.98,10392,8.55,71.16,1,1
977,12.83,10040,8.71,68.24,2,2
978,13.73,13246,9.3,72.66,1,1
979,11.95,11012,7.6,68.38,2,2
980,12.74,8127,8.06,68.64,2,2
981,13.65,9331,9.04,71.22,1,1
982,7.24,5282,3.62,65.15,4,4
983,11.06,8300,8.55,59.64,2,2
984,12.88,12267,8.74,69.84,1,1
985,12.63,18437,10.8,73.28,3,3
986,12.69,7753,7.84,72.82,2,2
987,12.78,7068,7.93,65.86,2,2
988,13.48,11647,6.37,66.64,2,2
989,12.94,7293,7.32,67.5,2,2
990,12.04,8532,7.13,69.88,2,2
991,13.35,12225,10.09,71.73,1,1
992,14.53,9967,8.86,69.81,1,1
993,12.48,7506,7.42,65.92,2,2
994,12.99,14608,8.87,73.53,1,1
995,12.61,11666,7.95,71.91,1,1
996,16.01,14030,11.78,70.04,3,3
997,13.36,11118,8.26,70.43,1,1
998,12.79,7142,8.1,65.93,2,2
999,13.58,7253,8.02,73.15,2,2
1000,11.37,11757,6.67,68.16,2,2
1001,13.94,14432,10.2,71.29,1,1
1002,13.17,10513,7.67,67.92,2,2
1003,11.74,8830,7.83,66.76,2,2
1004,13.77,11921,10.94,73.75,1,1
1005,12.3,8939,8.15,64.49,2,2
1006,12.29,7621,8.4,65.9,2,2
1007,13.05,6594,6.33,68.43,2,2
1008,14.14,10106,9.3,66.19,1,1
1009,12.85,11994,8.62,69.64,1,1
1010,12.38,9952,7.33,65.88,2,2
1011,14.01,10925,8.92,69.31,1,1
1012,12.24,8850,7.1,71.21,2,2
1013,12.36,7892,7.7,69.04,2,2
1014,14.8,17755,10.49,74.18,3,3
1015,12.1,9215,6.6,66.49,2,2
1016,11.99,9562,7.28,67.59,2,2
1017,13.46,8654,9.15,71.16,1,1
1018,11.3,10054,7.59,68.86,2,2
1019,12.8,20468,10.63,73.62,3,3
1020,11.98,8724,6.41,67.33,2,2
1021,12.3,11071,7.89,62.73,2,2
1022,15.19,11421,10.9,71.52,1,1
1023,12.68,12043,8.2,70.73,1,1
1024,12.87,11331,9.69,71.2,1,1
1025,12.07,9084,7.74,71.4,2,2
1026,12.76,7973,8.27,69.08,2,2
1027,14.3,9603,9.18,69.87,1,1
1028,14.12,8348,8.5,69.14,2,2
1029,13.05,8598,7.4,62.18,2,2
1030,12.83,10262,8.38,70.08,1,1
1031,12.04,11612,7.27,68.65,2,2
1032,14.36,9572,9.37,69.96,1,1
1033,14.15,10298,9.64,66.34,1,1
1034,12.4,7474,8.21,66.97,2,2
1035,11.64,8252,8.75,70.54,2,2
1036,14.96,13586,11.32,74.22,3,3
1037,13.37,8083,7.92,73.35,2,2
1038,13.72,11728,9.77,74.33,1,1
1039,12.77,11422,9.36,71.07,1,1
1040,13.16,6484,7.24,63.8,2,2
1041,15.18,10863,10.89,71.27,1,1
1042,12.7,11257,7.05,74.3,1,1
1043,12.76,12480,8.23,70.99,1,1
1044,12.02,9890,6.19,68.84,2,2
1045,13.07,6355,6.35,68.57,2,2
1046,14.8,10454,10.33,72.21,1,1
1047,11.8,9274,6.22,69.94,2,2
1048,9.8,4958,3.0,65.11,4,4
1049,11.9,9366,8.12,67.54,2,2
1050,12.84,12679,7.66,75.79,1,1
1051,13.03,10309,7.85,68.34,2,2
1052,13.06,9146,7.92,67.54,2,2
1053,12.63,10757,7.5,73.61,1,1
1054,14.33,12168,11.04,73.73,1,1
1055,13.46,11108,7.83,72.04,1,1
1056,15.55,16597,11.09,71.7,3,3
1057,13.14,10391,9.34,68.61,1,1
1058,12.33,8979,7.35,68.95,2,2
1059,12.31,7779,6.63,70.54,2,2
1060,12.52,12253,8.2,68.49,1,1
1061,12.72,10381,7.99,66.51,2,2
1062,11.95,11720,7.46,69.32,2,2
1063,13.24,10163,7.43,72.61,1,1
1064,13.09,11241,9.12,73.68,1,1
1065,13.61,9771,8.63,62.65,2,2
1066,12.78,13212,8.76,68.0,1,1
1067,11.83,11579,7.19,68.89,2,2
1068,11.15,8465,6.67,72.88,2,2
1069,12.84,12886,8.81,70.63,1,1
1070,16.02,13938,11.79,70.13,3,3
1071,12.48,7761,7.13,68.96,2,2
1072,11.76,13070,7.13,71.16,1,1
1073,14.6,8180,8.88,64.4,2,2
1074,12.19,9266,7.34,68.67,2,2
1075,14.47,15667,11.81,72.47,3,3
1076,12.49,11234,8.43,69.39,1,1
1077,13.99,17327,10.62,75.18,3,3
1078,12.77,12416,8.24,71.06,1,1
1079,12.75,7876,8.26,68.88,2,2
1080,12.18,12138,7.8,65.54,2,2
1081,12.39,12384,8.57,70.38,1,1
1082,12.38,12736,7.76,66.12,2,2
1083,11.51,11831,8.15,71.9,1,1
1084,13.47,9796,5.96,65.59,2,2
1085,13.66,10899,10.97,70.21,1,1
1086,11.52,12275,7.21,69.99,2,2
1087,11.96,8573,6.45,73.53,2,2
1088,12.33,11369,7.16,70.37,2,2
1089,12.49,10639,6.93,73.52,2,2
1090,11.81,9209,7.46,71.11,2,2
1091,13.64,8773,6.82,70.43,2,2
1092,14.12,14557,10.65,74.18,1,1
1093,14.74,14890,11.39,73.14,3,3
1094,12.19,12257,7.99,65.82,2,2
1095,13.46,11204,9.58,72.26,1,1
1096,12.37,9059,8.11,70.87,2,2
1097,14.34,10616,8.62,70.12,1,1
1098,13.94,8887,9.81,65.82,2,2
1099,13.33,10014,8.24,70.34,1,1
1100,13.15,13230,9.74,66.6,1,1
1101,15.38,15545,9.57,73.89,3,3
1102,15.1,12056,10.92,72.65,1,1
1103,12.45,11531,7.56,69.17,2,2
1104,8.04,4946,3.62,65.3,4,4
1105,15.5,14895,10.51,77.23,3,3
1106,13.76,8995,7.79,64.75,2,2
1107,12.75,7534,8.75,70.75,2,2
1108,13.06,10071,8.62,67.15,2,2
1109,13.29,8256,8.0,67.9,2,2
1110,12.1,11819,7.92,70.8,1,1
1111,12.83,9165,9.21,69.51,2,2
1112,11.74,10354,8.82,69.77,2,2
1113,12.6,9395,7.56,67.87,2,2
1114,17.05,18629,11.44,74.45,3,3
1115,11.55,7426,7.18,66.58,2,2
1116,13.69,9409,6.7,65.97,2,2
1117,11.99,8457,8.01,63.5,2,2
1118,12.93,11259,7.59,69.87,1,1
1119,12.41,7727,7.56,72.67,2,2
1120,13.07,8722,5.23,70.94,2,2
1121,14.61,9593,9.55,67.99,1,1
1122,15.75,13290,11.81,71.06,3,3
1123,13.29,8468,7.78,66.33,2,2
1124,12.51,8505,9.51,70.16,2,2
1125,12.24,11606,8.5,71.16,1,1
1126,13.53,9262,8.69,70.72,1,1
1127,13.59,10720,9.22,72.34,1,1
1128,12.8,9351,6.74,64.45,2,2
1129,11.59,6601,9.17,68.06,2,2
1130,12.62,12271,9.89,71.1,1,1
1131,12.05,12794,8.06,70.64,1,1
1132,12.81,10568,8.68,65.87,2,2
1133,14.12,12870,9.06,72.54,1,1
1134,11.38,11768,6.71,68.35,2,2
1135,13.9,7506,10.26,65.21,2,2
1136,12.43,8874,6.54,68.83,2,2
1137,11.17,8415,6.91,72.98,2,2
1138,13.39,8495,7.91,66.5,2,2
1139,11.84,8234,8.03,68.91,2,2
1140,14.33,10588,8.61,69.94,1,1
1141,13.21,10979,8.62,76.47,1,1
1142,13.02,12033,8.93,70.02,1,1
1143,12.88,9849,8.07,72.57,1,1
1144,13.26,7844,7.9,67.14,2,2
1145,12.6,8930,7.37,70.69,2,2
1146,7.61,4875,4.26,65.93,4,4
1147,12.92,11481,10.0,71.4,1,1
1148,13.59,7713,8.38,69.47,2,2
1149,12.43,11760,8.85,69.8,1,1
1150,12.45,8940,7.0,69.3,2,2
1151,12.78,11196,9.18,73.03,1,1
1152,12.33,9978,7.68,69.2,2,2
1153,11.51,12011,7.18,69.73,2,2
1154,11.55,9795,6.45,65.21,2,2
1155,11.35,11573,6.36,67.47,2,2
1156,13.13,7929,7.69,66.14,2,2
1157,12.29,6617,8.83,66.46,2,2
1158,13.08,10020,7.82,68.07,2,2
1159,11.85,8904,6.34,65.86,2,2
1160,12.12,8674,8.01,71.53,2,2
1161,12.09,6750,7.81,60.8,2,2
1162,12.13,6941,4.94,69.43,2,2
1163,14.51,10795,10.63,68.73,1,1
1164,13.76,7085,9.34,65.26,2,2
1165,12.03,8728,7.07,71.71,2,2
1166,12.75,14256,8.35,70.21,1,1
1167,11.94,8546,6.41,73.22,2,2
1168,14.21,15616,11.11,72.59,3,3
1169,12.59,10983,8.49,68.11,2,2
1170,13.98,12395,9.59,71.08,1,1
1171,12.73,7221,8.73,63.18,2,2
1172,14.13,15439,10.26,72.18,1,1
1173,13.49,8529,7.69,65.12,2,2
1174,12.52,10385,7.84,66.38,2,2
1175,12.43,7431,7.12,73.04,2,2
1176,12.89,6321,7.2,64.73,2,2
1177,13.81,11444,11.13,70.45,1,1
1178,13.14,9308,7.53,66.94,2,2
1179,11.07,7947,8.78,59.97,2,2
1180,12.72,8156,8.26,65.3,2,2
1181,11.82,7608,8.16,64.61,2,2
1182,13.68,9381,9.13,71.27,1,1
1183,13.62,11536,8.66,68.07,1,1
1184,12.14,9385,6.46,74.12,2,2
1185,13.48,10048,7.7,74.4,1,1
1186,12.67,8686,6.97,66.5,2,2
1187,13.57,10911,7.96,68.91,1,1
1188,13.15,12505,7.05,67.48,2,2
1189,12.8,11730,8.35,69.09,1,1
1190,12.26,6888,8.14,62.16,2,2
1191,12.1,10551,7.15,74.43,1,1
1192,13.48,10640,7.27,66.28,2,2
1193,15.17,15517,9.55,73.86,3,3
1194,13.18,6539,7.59,64.6,2,2
1195,13.41,11564,10.33,73.61,1,1
1196,13.2,8888,5.71,71.41,2,2
1197,11.98,8652,7.82,63.27,2,2
1198,11.77,10822,9.03,70.32,1,1
1199,12.11,10218,8.12,70.36,2,2
1200,13.42,9855,9.04,71.7,1,1
1201,13.05,11071,8.65,68.8,1,1
1202,12.43,13079,7.56,75.83,1,1
1203,12.64,6804,8.0,71.34,2,2
1204,12.74,11182,8.64,69.79,1,1
1205,12.14,8918,7.83,66.35,2,2
1206,11.93,11111,7.98,66.2,2,2
1207,13.86,9780,8.85,72.17,1,1
1208,13.12,7244,7.31,67.69,2,2
1209,12.24,9970,7.85,67.43,2,2
1210,12.36,10395,8.1,66.02,2,2
1211,12.27,6275,9.39,63.19,2,2
1212,12.42,11583,7.78,68.31,2,2
1213,12.6,10020,8.7,68.2,2,2
1214,13.23,10420,9.54,69.1,1,1
1215,12.62,9480,7.71,68.12,2,2
1216,13.0,11495,8.75,68.71,1,1
1217,12.05,7162,7.52,72.52,2,2
1218,11.36,11910,6.42,67.9,2,2
1219,12.15,7832,7.35,72.33,2,2
1220,13.22,9525,6.18,68.99,2,2
1221,11.98,10131,7.14,73.02,2,2
1222,13.82,11557,9.1,77.55,1,1
1223,12.38,10409,7.26,64.3,2,2
1224,13.88,14217,8.71,64.57,1,1
1225,12.54,11582,8.71,66.99,1,1
1226,12.8,12140,7.16,70.65,1,1
1227,13.49,8635,7.11,64.79,2,2
1228,12.56,11231,8.28,71.41,1,1
1229,12.25,9859,6.3,71.63,2,2
1230,13.33,23575,11.63,74.12,3,3
1231,12.82,12203,8.39,69.89,1,1
1232,11.67,8080,8.97,70.73,2,2
1233,12.99,11553,8.74,68.64,1,1
1234,13.59,10498,8.56,66.93,2,2
1235,17.28,19125,11.45,74.56,3,3
1236,12.76,9453,8.43,59.41,2,2
1237,12.07,10700,5.71,66.71,2,2
1238,11.85,8310,8.04,69.09,2,2
1239,12.76,12349,9.79,71.4,1,1
1240,14.75,11916,10.97,71.66,1,1
1241,12.59,11938,6.88,62.39,2,2
1242,13.73,8845,7.91,65.38,2,2
1243,12.85,11448,7.52,73.72,1,1
1244,17.39,16892,12.64,71.36,3,3
1245,13.18,7598,7.63,67.01,2,2
1246,12.27,10408,8.88,70.15,1,1
1247,12.76,5894,6.6,64.52,4,4
1248,12.83,12680,8.71,74.28,1,1
1249,13.59,10409,8.73,69.21,1,1
1250,14.4,15087,10.52,70.54,1,1
1251,13.33,10243,8.59,68.55,1,1
1252,12.2,7526,6.77,70.16,2,2
1253,13.74,7980,8.61,71.19,2,2
1254,13.07,18520,11.17,73.01,3,3
1255,11.98,10995,7.8,69.02,2,2
1256,16.03,14116,11.92,70.52,3,3
1257,12.58,6659,7.46,61.95,2,2
1258,12.71,10325,8.28,67.81,2,2
1259,12.46,8219,7.82,66.62,2,2
1260,14.81,10523,10.37,70.95,1,1
1261,12.26,5780,7.35,68.07,2,2
1262,12.53,8408,7.51,68.55,2,2
1263,13.61,7519,8.62,69.61,2,2
1264,12.9,12830,8.3,74.3,1,1
1265,12.77,6978,8.87,65.99,2,2
1266,12.77,5998,6.86,64.89,2,2
1267,12.59,9051,7.5,64.58,2,2
1268,12.04,10380,7.9,71.29,2,2
1269,13.16,11574,7.81,71.38,1,1
1270,12.77,11519,7.92,66.78,2,2
1271,14.45,9824,8.82,66.89,1,1
1272,12.64,10539,8.07,67.13,2,2
1273,13.11,7321,6.6,67.08,2,2
1274,13.6,12245,8.95,70.35,1,1
1275,12.47,9641,7.48,64.3,2,2
1276,12.81,11875,7.17,67.21,2,2
1277,13.07,10492,9.15,68.41,1,1
1278,12.02,8823,6.89,71.62,2,2
1279,13.25,7630,9.28,68.69,2,2
1280,11.74,7769,7.37,70.75,2,2
1281,13.94,9969,10.0,68.0,1,1
1282,11.59,8718,5.66,70.11,2,2
1283,12.53,7816,7.27,65.55,2,2
1284,14.27,9186,9.09,69.64,1,1
1285,13.17,10270,7.27,72.45,1,1
1286,12.11,10328,7.16,74.55,1,1
1287,12.4,7357,7.11,72.84,2,2
1288,14.6,9516,9.37,67.98,1,1
1289,11.78,10793,9.14,70.4,1,1
1290,12.81,12476,8.28,69.79,1,1
1291,12.44,11324,8.55,71.53,1,1
1292,13.47,5245,6.96,65.25,4,4
1293,13.66,11977,8.34,68.82,1,1
1294,12.04,8708,7.08,71.84,2,2
1295,12.98,12070,8.03,75.79,1,1
1296,12.68,11102,7.53,74.23,1,1
1297,14.7,12247,10.95,71.42,1,1
1298,12.19,9795,6.58,74.23,2,2
1299,12.97,9102,7.14,67.82,2,2
1300,12.91,8086,7.6,66.02,2,2
1301,12.64,10203,8.58,73.26,1,1
1302,13.85,8402,8.73,65.59,2,2
1303,12.35,10859,6.11,67.2,2,2
1304,12.42,9708,8.22,60.99,2,2
1305,12.87,9844,7.18,72.26,2,2
1306,13.69,7133,7.61,67.11,2,2
1307,12.7,7264,7.29,67.5,2,2
